starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
